题目,第一作者,第二作者,通讯作者,所有作者（以英文逗号隔开）,期刊,JCR分区，选取小分区中最高即可,期刊影响因子,volume，没有填-,number，没有填-,页码,年份,出版商,原文链接,pdf全称（pdf中空格替换为英文下划线_）,文章首页图片名称(大小：636×900像素，保存为pdf全称.jpg格式),摘要（复制粘贴注意从pdf粘贴出来的格式）,
Manipulating_carriers' spin_polarization_in_the_Heusler_alloy_Mn2CoAl,Jian Zhou,Baisheng Sa,Zhimei Sun,"Jian Zhou,Baisheng Sa,Zhimei Sun,Chen Sia,Rajeev Ahuja",RSC Advances,Q2,3.049,5,90,73814-73819,2015,"ROYAL SOC CHEMISTRY, THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND",https://pubs.rsc.org/en/content/articlelanding/2015/RA/C5RA13673C#!divAbstract,2015rscadv-zhou-rscadv2015.pdf,2015rscadv-zhou-rscadv2015.jpg,"We report that complete spin polarization and controllable spin polarization of carriers can be simultaneously realized in the Heusler alloy Mn2CoAl simply by applying external pressures based on first-principles studies. At ambient conditions, Mn2CoAl is a ferromagnetic spin-gapless semiconductor (SGS) with complete spin polarization. Under hydrostatic pressures up to 40 GPa, Mn2CoAl undergoes a series of electronic transitions from SGS with spin-up as a conducting channel to a ferromagnetic semiconductor and then to SGS with spin-down as a conducting channel and finally to a half metal, during which the magnetic moment remains as 2 μB. Such rich electronic transitions are attributed to different responses of the spin-up and spin-down electrons under pressure. This work highlights a desirable way to control the carrier's spin polarization and provides a new insight into the electron behavior in Mn2CoAl related Heusler alloys under pressure.",
Pressure-induced semimetal-semiconductor transition and enhancement of thermoelectric performance in α-MgAgSb,Naihua Miao,Jian Zhou,"Jian Zhou,Zhimei Sun","Naihua Miao,Jian Zhou,Baisheng Sa,Bin Xu,Zhimei Sun",Applied Physics Letters,Q1,3.521,108,21,213902,2016,"AMER INST PHYSICS, 1305 WALT WHITMAN RD, STE 300, MELVILLE, NY 11747-4501 USA",http://dx.doi.org/10.1063/1.4952598,2016APL_miaonaihua.pdf,2016APL_miaonaihua.jpg,"Comparable to bismuth telluride, a-MgAgSb-based materials (a-MAS) have been investigated recently as promising candidates for room-temperature thermoelectric energy harvesting and thus various efforts have been devoted to the enhancement of their thermoelectric performance. By utilizing first-principles density functional calculations and Boltzmann transport theory, we report that the thermoelectric properties of a-MAS can be dramatically improved with the application of hydrostatic pressure. This is attributed to a pressure-induced semimetal to semiconductor transition in a-MAS. With the benefit of this pressure-tunable behaviour, the Seebeck coefficient of a-MAS can be manipulated flexibly. Furthermore, we found that, through the combination of applying pressure and p-type doping, the optimal thermoelectric power factor and figure of merit of a-MAS can be enhanced remarkably by 110% at 550K compared with the intrinsic case. Our results provide an interesting insight and a feasible guideline for the improvement of the thermoelectric properties of a-MAS related materials. Published by AIP Publishing.",
The pressure induced twisted distortion in the flexible oxide Tc2O7,Yuan Fang,Baisheng Sa,"Zhimei Sun,Baisheng Sa","Yuan Fang,Baisheng Sa,Naihua Miao,Zhimei Sun,Bo Wu", CrystEngComm,Q1,3.382,18,2,328–333,2016,"ROYAL SOC CHEMISTRY, THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND",http://dx.doi.org/10.1039/c5ce02041g,2016cryengcomm_fangyuan.pdf,2016cryengcomm_fangyuan.jpg,"The pressure induced twisted distortion of the diagonal-double tetrahedrons (DDTs) in Tc2O7 and the corresponding anomalous lattice variation under pressure were unraveled based on van der Waals (vdW)
corrected density functional theory calculations. We show that the optPBE functional precisely represents the crystal structure of Tc2O7 with less than 0.5% volume overestimation. The flexibility of the Tc2O7 cell originating from the weak vdW interactions between the Tc2O7 DDTs is confirmed. On the contrary, we have found that the strong ionic bonding in the Tc2O7 DDT leads to the rigidity of the Tc2O7 DDT. According to the analysis of chemical bonding characterization, the pressure induced distortion of the Tc2O7 DDT leads to inhomogeneous Tc–O bonding distributions.",
Toughening of a-Nb5Si3 by Ti,Songxin Shi,Linggang Zhu,Zhimei Sun,"Songxin Shi,Linggang Zhu,Hu Zhang,Zhimei Sun",Journal of Alloys and Compounds,Q1,4.175,689,-,296-301,2016,"ELSEVIER SCIENCE SA, PO BOX 564, 1001 LAUSANNE, SWITZERLAND",http://dx.doi.org/10.1016/j.jallcom.2016.07.317,2016jac_shisongxin.pdf,2016jac_shisongxin.jpg,"Nb-Si-based alloy, which primarily consists of niobium solid solution (NbSS) and a-Nb5Si3, is a promising ultra-high temperature material. The overall fracture toughness of this alloy is limited by the brittle a-Nb5Si3 phase. Alloying Ti, which can improve the toughness of NbSS, is typically introduced into Nb-Si-based alloy. The overall toughening effect of the alloying elements on multi-composites is dependent on the alloying effect on each component. However, the influence of Ti on the brittleness of a-Nb5Si3 is unclear, which makes the beneficial effect of Ti on the mechanical properties of Nb-Si-based alloy ambiguous. By calculating the ideal cleavage energy and cleavage strength using a first-principles method, we find that a low amount of Ti will improve the toughness of Nb5Si3, while Ti-rich Nb5Si3 becomes more brittle, which is in good agreement with experimental results. The concentration-sensitive effect of alloying Ti is induced by the variation of its substitution site and can be well explained by the electronic structure analysis. Our findings demonstrate that the alloying amount of Ti should be carefully selected in the Nb-Si-based alloy.",
"Quantum spin Hall phase in Mo2M2C3O2 (M = Ti, Zr, Hf) Mxenes",Chen Si,Jinxuan You,"Chen Si,Zhimei Sun","Chen Si,Jinxuan You, Wujun Shi,Jian Zhou,Zhimei Sun",Journal of Materials Chemistry C,Q1,6.641,4,48,11524--11529,2016,"ROYAL SOC CHEMISTRY, THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND",http://dx.doi.org/10.1039/c6tc04560j,2016jmcc_sichen.pdf,2016jmcc_sichen.jpg,"The quantum spin Hall (QSH) phase is a peculiar physical phenomenon characterized by topologically protected helical edge states, with potential applications in lower-power electronics and spintronics.
Here, using first-principles calculations, we predict the QSH phase in Mo2M2C3O2 (M = Ti, Zr, or Hf), new members with ordered structures in the family of two-dimensional transition metal carbides
(MXenes). The QSH phase which is confirmed by the nontrivial Z2 topological invariant and Dirac edge states arises from a d–d band inversion between the M-dxy,x2 y2 and the Mo-dz2 orbitals and a spin–orbital coupling (SOC)-induced splitting of the M-dxy,x2 y2 orbital at the G point. With different M atoms, the QSH gap of Mo2M2C3O2 ranges from 38 to 152 meV. These findings will broaden the scientific and technological impacts of both QSH materials and MXenes.",
Synergistic Resistive Switching Mechanism of Oxygen Vacancies and Metal Interstitials in Ta2O5,Linggang Zhu,Jian Zhou,Zhimei Sun,"Linggang Zhu,Jian Zhou,Zhonglu Guo,Zhimei Sun",Journal of Physical Chemistry C,Q1,4.309,120,4,2456−2463,2016,"AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA",http://dx.doi.org/10.1021/acs.jpcc.5b11080,2016jpcc_lgzhu_synergistic_resistive.pdf,2016jpcc_lgzhu_synergistic_resistive.jpg,"Ta2O5 is extensively studied as a data-storage material for resistance random access memory (RRAM). The resistive switching (RS) in Ta2O5-based RRAM is generally believed to be due to the diffusion of oxygen vacancy (Vo) inside the oxide, while the role of metal interstitials is paid less attention. Here, on the basis of first-principles calculations, we show that the role of interstitial Ta (Tai) is competitive under the oxygen-poor condition and should also contribute to RS in Ta2O5. This is obvious by our calculated comparable energy barriers for the diffusion of Vo and Tai, which are 3.5 and 3.7 eV, respectively. Furthermore, the presence of electric field in working devices will enhance the migration of Tai due to its higher charge states compared to Vo. Meanwhile, Tai will introduce more defect states closer to the conduction bands and, thus, is more effective on tuning the electronic structure of Ta2O5. The present work unravels the contribution of Ta cations in RS of tantalum oxidebased RRAM, presenting a synergistic RS mechanism of oxygen vacancies and metal interstitials, which should be helpful for optimizing and designing novel RRAM devices.",
"Metal-Metal Bonding Stabilized Ground State Structure of Early Transition Metal Monoxide TM-MO (TM = Ti, Hf, V, Ta)
",Linggang Zhu,Jian Zhou,Zhimei Sun,"Linggang Zhu,Jian Zhou,Zhonglu Guo,Zhimei Sun",Journal of Physical Chemistry C,Q1,4.309,120,18,10009−10014,2016,"AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA",http://dx.doi.org/10.1021/acs.jpcc.6b02871,2016jpcc_zhulinggang_metal_metal_bonding.pdf,2016jpcc_zhulinggang_metal_metal_bonding.jpg,"It is commonly believed that early transition metal monoxides (TM−MOs) crystallize in simple rock-salt structures (symmetry FM3̅M) for their ground states. Here, by combining structure-searching algorithm and first-principles calculations, we identified structures that are more stable than the ideal rock-salt for the early TM−MOs (TM = Ti, Hf, V, Ta). For TiO, HfO, and TaO, ground state symmetries of P6̅2M), I41/AMD and P1̅ are obtained, respectively, which have distinct structural and electronic properties compared to the rock-salt structure. However, it is rather complex for the case of VO due to the existence of magnetic ordering. For VO, magnetic ordering behavior exists in the rock-salt and the predicted P1̅ structure according to the hybrid functional calculations. After relaxation, the magnetic ordering causes local distortion in the original rock-salt structure, leading to a R3̅M symmetry, which becomes more stable than the predicted P1̅ structure. Furthermore, the ionic TM−O bonding of the predicted phases is rather weaker than that of their rock-salt counterparts. While the enhanced metal−metal bonding characterized by the distances between the nearest-neighboring metallic atoms is found to be responsible for the stabilization of the ground state structures discovered here. Our findings deepen the understanding of the ground state of early TM−MOs, which is vital for the unraveling of the complete physical picture for transition metal monoxides.",
Novel phosphate halides BaMnIII[PO4]FCl and BaMnIII[PO4]F-2: Effects of mixed halides on crystal structures and magnetic properties,Da-TingPei,WeiSun,Jin-XiaoMi,"Da-TingPei,WeiSun,Ya-XiHuang,Zhi-MeiSun,YuanmingPan,Jin-XiaoMi",Journal of Solid State Chemistry,Q2,2.291,234,-,29–35,2016,"ACADEMIC PRESS INC ELSEVIER SCIENCE, 525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA",http://dx.doi.org/10.1016/j.jssc.2015.11.023,2016JSSC_peidating.pdf,2016JSSC_peidating.jpg,"Two new phosphate halides BaMnIII[PO4]FCl (1) and BaMnIII[PO4]F2 (2),have been synthesized under hydrothermal conditions.Structural characterizations show that both new compounds adop tlayered
structures but with different polyhedral linkages.Introduction of Cl into Compound (1) results inisolated hemimorphic [MnO4FCl] octahedra,different from the chain of[MnO4F2]/[MnO2F4] octahedra in Com-
pound (2). These compounds have significantly different molecular vibration modes and thermal sta-bilities. Magnetic measurements reveal that Compound (2) has larger antiferromagnetic interactions
than Compound (1), because the former has strong interactions betweenMn3t-Mn3t ions within cor-ner-shared Mn3t-octahedral chains whereas the latter only possesses isolated Mn3t- octahedra. Both
compounds transform to a new orthorhombic compound BaMnII(PO4)F (3) after thermal decomposition.",
Large-Gap Quantum Spin Hall State in MXenes: d.Band Topological Order in a Triangular Lattice,Chen Si,Kyung-Hwan Jin,Zhimei Sun,"Chen Si,Kyung-Hwan Jin,Jian Zhou,Zhimei Sun,Feng Liu",Nano Letters,Q1,12.279,16,10,6584-6591,2016,"AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA",http://dx.doi.org/10.1021/acs.nanolett.6b03118,2016nanoletter_sichen.pdf,2016nanoletter_sichen.jpg,"MXenes are a large family of two-dimensional (2D) early transition metal carbides that have shown great potential for a host of applications ranging from electrodes in supercapacitors and batteries to
sensors to reinforcements in polymers. Here, on the basis of firstprinciples calculations, we predict that Mo2MC2O2 (M = Ti, Zr, or Hf), belonging to a recently discovered new class of MXenes with double
transition metal elements in an ordered structure, are robust quantum spin Hall (QSH) insulators. A tight-binding (TB) model based on the dz2-, dxy-, and dx2.y2-orbital basis in a triangular lattice is also constructed to describe the QSH states in Mo2MC2O2. It shows that the atomic spin.orbit coupling (SOC) strength of M totally contributes to the topological gap at the Γ point, a useful feature dvantageous over the usual cases where the topological gap is much smaller than the atomic SOC strength based on the classic Kane.Mele (KM) or Bernevig. Hughes.Zhang (BHZ) model. Consequently, Mo2MC2O2 show sizable gaps from 0.1 to 0.2 eV with different M atoms, sufficiently large for realizing room-temperature QSH effects. Another advantage of Mo2MC2O2 MXenes lies in their oxygencovered
surfaces which make them antioxidative and stable upon exposure to air. ",
"The development of two dimensional group IV chalcogenides, blocks for van der Waals heterostructures",Baisheng Sa,Zhimei Sun,Zhimei Sun,"Baisheng Sa,Zhimei Sun,Bo Wu",Nanoscale,Q1,6.97,8,2,1169–1178,2016,"ROYAL SOC CHEMISTRY, THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND",http://dx.doi.org/10.1039/c5nr06871a,2016nanoscale_sabs.pdf,2016nanoscale_sabs.jpg,"In this work, we introduce a series of two dimensional (2D) group IV chalcogenides (AX)2 with the building block X–A–A–X (A = Si, Ge, Sn, and Pb, and X = Se and Te) on the basis of ab initio calculations. The analysis of energy evaluation, lattice vibration as well as the chemical bonding demonstrate the good stability of these 2D materials. Furthermore, the pictures for the chemical bonding and electronic features of the 2D (AX)2 are drawn. Their narrow gapped semiconducting nature is unraveled. Especially, strong interactions between the electrons and phonons as well as the topological insulating nature in (SiTe)2 are observed. The present results indicate that such remarkable artificial 2D (AX)2 are building blocks for van der Waals heterostructure engineering, which shows potential applications in nanoscaled electronics and optoelectronics.",
Strain engineering of graphene: a review,Chen Si,Zhimei Sun,Feng Liu,"Chen Si,Zhimei Sun,Feng Liu",Nanoscale,Q1,6.97,8,6,3207-3217,2016,"ROYAL SOC CHEMISTRY, THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND",http://dx.doi.org/10.1039/c5nr07755a,2016nanoscale_sichen.pdf,2016nanoscale_sichen.jpg,"Graphene has intrigued the science community by many unique properties not found in conventional materials. In particular, it is the strongest two-dimensional material ever measured, being able to sustain reversible tensile elastic strain larger than 20%, which yields an interesting possibility to tune the properties of graphene by strain and thus opens a new field called “straintronics”. In this article, the current progress in the strain engineering of graphene is reviewed. We first summarize the strain effects on the electronic structure and Raman spectra of graphene. We then highlight the lectron–phonon coupling greatly enhanced by the biaxial strain and the strong pseudomagnetic field induced by the non-uniform strain with specific distribution. Finally, the potential application of strain-engineering in the self-assembly of foreign atoms on the graphene surface is also discussed. Given the short history of graphene straintronics research, the current progress has been notable, and many further advances in this field are expected.",
Electronic structures and enhanced optical properties of blue phosphorene/transition metal dichalcogenides van der Waals heterostructures,Qiong Peng,Zhenyu Wang,"Baisheng Sa,Bo Wu,Zhimei Sun","Qiong Peng,Zhenyu Wang,Baisheng Sa,Bo Wu,Zhimei Sun",Scientific Reports,Q1,4.011,6,-,"31994
",2016,"NATURE PUBLISHING GROUP, MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",http://dx.doi.org/10.1038/srep31994,2016srep_pengqiong.pdf,2016srep_pengqiong.jpg,"As a fast emerging topic, van der Waals (vdW) heterostructures have been proposed to modify two-dimensional layered materials with desired properties, thus greatly extending the applications
of these materials. In this work, the stacking characteristics, electronic structures, band edge alignments, charge density distributions and optical properties of blue phosphorene/transition metal
dichalcogenides (BlueP/TMDs) vdW heterostructures were systematically studied based on vdW corrected density functional theory. Interestingly, the valence band maximum and conduction band
minimum are located in different parts of BlueP/MoSe2, BlueP/WS2 and BlueP/WSe2 heterostructures. The MoSe2, WS2 or WSe2 layer can be used as the electron donor and the BlueP layer can be used as the
electron acceptor. We further found that the optical properties under visible-light irradiation of BlueP/TMDs vdW heterostructures are significantly improved. In particular, the predicted upper limit energy conversion efficiencies of BlueP/MoS2 and BlueP/MoSe2 heterostructures reach as large as 1.16% and 0.98%, respectively, suggesting their potential applications in efficient thin-film solar cells and optoelectronic devices.",
Yttrium-Doped_Sb2Te3: A_Promising_Material_for_Phase-Change_Memory,Zhen Li,Chen Si,"Jian Zhou,Zhimei Sun","Zhen Li,Chen Si,Jian Zhou,Huibin Xu,Zhimei Sun",ACS Applied Materials & Interfaces,Q1,8.456,8,39,26126-26134,2016,"AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA",https://pubs.acs.org/doi/10.1021/acsami.6b08700,2016acsami-lizhen.pdf,2016acsami-lizhen.jpg,"Sb2Te3 exhibits outstanding performance among the candidate materials for phase-change memory; nevertheless, its low electrical resistivity and thermal stability hinder its practical application. Hence, numerous studies have been carried out to search suitable dopants to improve the performance; however, the explored dopants always cause phase separation and thus drastically reduce the reliability of phase-change memory. In this work, on the basis of ab initio calculations, we have identified yttrium (Y) as an optimal dopant for Sb2Te3, which overcomes the phase separation problem and significantly increases the resistivity of crystalline state by at least double that of Sb2Te3. The good phase stability of crystalline Y-doped Sb2Te3 (YST) is attributed to the same crystal structure between Y2Te3 and Sb2Te3 as well as their tiny lattice mismatch of only ∼1.1%. The significant increase in resistivity of c-YST is understood by our findings that Y can dramatically increase the carrier’s effective mass by regulating the band structure and can also reduce the intrinsic carrier density by suppressing the formation of SbTe antisite defects. Y doping can also improve the thermal stability of amorphous YST based on our ab initio molecular dynamics simulations, which is attributed to the stronger interactions between Y and Te than that of Sb and Te.",
"Blue_Phosphorene/MS2 (M = Nb, Ta)_Heterostructures_As_Promising_Flexible_Anodes_for_Lithium-Ion_Batteries",Qiong Peng,Zhenyu Wang,"Baisheng Sa,Bo Wu","Qiong Peng,Zhenyu Wang,Baisheng Sa,Bo Wu, Zhimei Sun",ACS Applied Materials & Interfaces,Q1,8.456,8,21,13449-13457,2016,"AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA",https://pubs.acs.org/doi/10.1021/acsami.6b03368,2016acsami-pengqiong.pdf,2016acsami-pengqiong.jpg,"The idea of forming van der Waals (vdW) heterostructures by integrating various two-dimensional materials breaks the limitation of the restricted properties of single material systems. In this work, the electronic structure modulation, stability, entire stress response and the Li adsorption properties of heterostructures by combining blue phosphorene (BlueP) and MS2 (M = Nb, Ta) together were systematically investigated using first-principles calculations based on vdW corrected density functional theory. We revealed that BlueP/MS2 vdW heterostructures possess good structural stability with negative formation energy, enhanced electrical conductivity, improved mechanical flexibility (ultimate strain >17%) and high-capacity (528.257 mAhg–1 for BlueP/NbS2). The results suggest that BlueP/NbS2 and BlueP/TaS2 heterostructures are ideal candidates used as promising flexible electrode for high recycling rate and portable lithium-ion batteries, which satisfy the requirement of next-generation flexible energy storage and conversion devices.",
Sulfur-Depleted_Monolayered_Molybdenum_Disulfide_Nanocrystals_for_Superelectrochemical_Hydrogen_Evolution_Reaction,Liangxu Lin,Naihua Miao,"Shaowei Zhang,Dan A. Allwood","Liangxu Lin,Naihua Miao,Yan Wen,Shaowei Zhang,Philippe Ghosez,Zhimei Sun,Dan A. Allwood",ACS Nano,Q1,13.903,10,9,8929-8937,2016,"AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA",https://pubs.acs.org/doi/10.1021/acsnano.6b04904,2016acsnano-linliangxu.pdf,2016acsnano-linliangxu.jpg,"Catalytically driven electrochemical hydrogen evolution reaction (HER) of monolayered molybdenum disulfide (MoS2) is usually highly suppressed by the scarcity of edges and low electrical conductivity. Here, we show how the catalytic performance of MoS2 monolayers can be improved dramatically by catalyst size reduction and surface sulfur (S) depletion. Monolayered MoS2 nanocrystals (NCs) (2–25 nm) produced via exfoliating and disintegrating their bulk counterparts showed improved catalysis rates over monolayer sheets because of their increased edge ratios and metallicity. Subsequent S depletion of these NCs further improved the metallicity and made Mo atoms on the basal plane become catalytically active. As a result, the S-depleted NCs with low mass (∼1.2 μg) showed super high catalytic performance on HER with a low Tafel slope of ∼29 mV/decade, overpotentials of 60–75 mV, and high current densities jx (where x is in mV) of j150 = 9.64 mA·cm–2 and j200 = 52.13 mA·cm–2. We have found that higher production rates of H2 could not be achieved by adding more NC layers since HER only happens on the topmost surface and the charge mobility decreases dramatically. These difficulties can be largely alleviated by creating a hybrid structure of NCs immobilized onto three-dimensional graphene to provide a very high surface exposure of the catalyst for electrochemical HER, resulting in very high current densities of j150 = 49.5 mA·cm–2 and j200 = 232 mA·cm–2 with ∼14.3 μg of NCs. Our experimental and theoretical studies show how careful design and modification of nanoscale materials/structures can result in highly efficient catalysis. There may be considerable opportunities in the broader family of transition metal dichalcogenides beyond just MoS2 to develop highly efficient atomically thin catalysts. These could offer cheap and effective replacement of precious metal catalysts in clean energy production.",
MXene: a promising photocatalyst for water splitting,Zhonglu Guo,Jian Zhou,"Jian Zhou,Zhimei Sun","Zhonglu Guo,Jian Zhou,Linggang Zhu,Zhimei Sun",Journal of Materials Chemistry A,Q1,10.733,4,29,11446–11452,2016,"ROYAL SOC CHEMISTRY, THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND",http://dx.doi.org/10.1039/c6ta04414j,2016jmca_guozhonglu.pdf,2016jmca_guozhonglu.jpg,"Identifying suitable photocatalysts for photocatalytic water splitting to produce hydrogen fuel via sunlight is an arduous task by the traditional trial-and-error method. Thanks to the progress of density functional theory, one can nowadays accelerate the process of finding candidate photocatalysts. In this work, by ab initio calculations, we investigated 48 two-dimensional (2D) transition metal carbides also referred to as MXenes to understand their photocatalytic properties. Our results highlight 2D Zr2CO2 and Hf2CO2 as
the candidate single photocatalysts for possible high efficiency photocatalytic water splitting. A significant property of 2D Zr2CO2 and Hf2CO2 is that they exhibit unexpectedly high and directionally
anisotropic carrier mobility, which may effectively facilitate the migration and separation of photogenerated electron–hole pairs. Meanwhile, these two MXenes also exhibit very good optical
absorption performance in the wavelength ranging approximately from 300 to 500 nm. The stability of 2D Zr2CO2 and Hf2CO2 in liquid water is expected to be good based on ab initio molecular dynamics
simulations. Finally, the adsorption and decomposition of water molecules on the 2D Zr2CO2 surface and the subsequent formation process of hydrogen were studied, which contributes to the unravelling of
the micro-mechanism of photocatalytic hydrogen production on MXenes. Our findings will open a new way to facilitate the discovery and application of MXenes for photocatalytic water splitting.",
Controllable Schottky barrier in GaSe/graphene heterostructure: the role of interface dipole,Chen Si,Zuzhang Lin,Chen Si,"Chen Si,Zuzhang Lin,Jian Zhou,Zhimei Sun",2D Materials,Q1,7.343,4,1,15027,2017,"IOP PUBLISHING LTD, TEMPLE CIRCUS, TEMPLE WAY, BRISTOL BS1 6BE, ENGLAND",http://dx.doi.org/10.1088/2053-1583/4/1/015027,2017_2Dmaterials_sichen.pdf,2017_2Dmaterials_sichen.jpg,"The discoveries of graphene and other related two-dimensional crystals have recently led to a new technology: van der Waals (vdW) heterostructures based on these atomically thin materials. Such a
paradigm has been proved promising for a wide range of applications from nanoelectronics to optoelectronics and spintronics. Here, using first-principles calculations, we investigate the electronic
structure and interface characteristics of a newly synthesized GaSe/graphene (GaSe/g) vdW heterostructure.Weshow that the intrinsic electronic properties of GaSe and graphene are both well
preserved in the heterostructure, with a Schottky barrier formed at the GaSe/g interface. More interestingly, the band alignment between graphene and GaSe can be effectively modulated by tuning
the interfacial distance or applying an external electric filed. This makes the Schottky barrier height (SBH) controllable, which is highly desirable in the electronic and optoelectronic devices based on
vdW heterostructures. In particular, the tunability of the interface dipole and potential step is further uncovered to be the underlying mechanism that ensures this controllable tuning of SBH.",
Vacancy mediated alloying strengthening effects on gamma/gamma ' interface of Ni-based single crystal superalloys: A first-principles study,Wenyue Zhao,Zhimei Sun,Wenyue Zhao,"Wenyue Zhao,Zhimei Sun,Shengkai Gong",Acta Materialia,Q1,7.293,135,-,25-34,2017,"PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",http://dx.doi.org/10.1016/j.actamat.2017.05.074,2017acta_zhaowenyue.pdf,2017acta_zhaowenyue.jpg,"The vacancy effects on the site preferences of alloying elements Re, Mo, Ta and Cr at g/g0 interface are studied using first-principles density functional theory. The alloying strengthening mechanism mediated by vacancy is also evaluated via calculating the Griffith work of fracture for g/g0 interface as well as the energy barrier of vacancy migration at the interface. The calculated results show that a Ni vacancy on (001)g0 plane does not change the most preferable substitution position of the alloying elements at corner-point Ni site on (001)g except Cr. These alloying elements in g0 enhance the interfacial bonding strength of g/g0 interface even with the presence of a neighboring vacancy, among which Re exhibits the best strengthening effect. The improvement in the g/g0 interfacial strength is ascribed to the increased chemical bonding strength between the alloying atom and the nearest-neighbor host atom. Furthermore, a single Ni vacancy has higher migration energy barriers around the alloying solutes especially Re solute substituting on (001)g at g/g0 interface, although the alloying solutes at these preferable sites have no contribution to the interfacial bonding strength.",
Ti-enhanced exfoliation of V2AlC into V2C MXene for lithium-ion battery anodes,Jian Zhou,Shaohua Gao,Zhimei Sun,"Jian Zhou,Shaohua Gao,Zhonglu Guo,Zhimei Sun",Ceramics International,Q1,3.45,43,14, 11450-11454,2017,"ELSEVIER SCI LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",http://dx.doi.org/10.1016/j.ceramint.2017.06.016,2017CERI_jzhou.pdf,2017CERI_jzhou.jpg,"Two-dimensional V2C (MXene) derived from layered V2AlC phase attracts increasing interest due to its various promising applications such as lithium-ion batteries. Yet it is a great challenge to obtain completely exfoliated V2C MXene by etching Al from V2AlC. Here, in this work, we highlight that alloying Ti can significantly enhance the exfoliation of (V1-xTix)2C MXene from (V1-xTix)2AlC based on our systematic studies of experiments and first-principles calculations. Furthermore, the exfoliated (V1-xTix)2C MXene shows better multilayered morphology characterized by X-ray diffraction and scanning electron microscopy. Meanwhile, by analyzing the exfoliation process and electron localization functions, we have demonstrated that the micro-origin of Ti enhancement effect on the exfoliation of (V1-xTix)2AlC is due to the significantly weakened interlayer bonding between the VC and Al layers in (V1-xTix)2AlC induced by alloying Ti. Finally, we have shown that the performance of (V1-xTix)2C as anode materials for Li-ion batteries is improved with the increase of Ti content.
Our results provide a useful way to improve the synthesis of V-based MXenes and are beneficial to the
applications as well.",
Computational mining of photocatalysts for water splitting hydrogen production: two-dimensional InSe-family monolayers,Qiong Peng,Rui Xiong,"Baisheng Sa,Bo Wu,Zhimei Sun","Qiong Peng,Rui Xiong,Baisheng Sa,Jian Zhou,Cuilian Wen,Bo Wu,Masakazu Anpo,Zhimei Sun",Catalysis Science & Technology,Q1,5.726,7,13,2744-2752,2017,"ROYAL SOC CHEMISTRY, THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND",http://dx.doi.org/10.1039/c7cy00090a,2017CST_pengqiong.pdf,2017CST_pengqiong.jpg,"Strongly suppressed recombination of electron–hole pairs, unexpectedly high carrier mobility, and anomalous optical response were found in an atomically thin indium selenide (InSe) photocatalyst. In this study, we unraveled the photocatalytic potential of two-dimensional (2D) InSe-family group-III monochalcogenide MX (M = Ga and In and X = S, Se, and Te) monolayers as water splitting hydrogen production photocatalysts on the basis of density functional theory. Our results not only highlight the high electron mobility and small exciton binding energy of 2D InSe, but also demonstrate the energy evolution of the adsorption and decomposition of water molecules as well as the hydrogen production process at the 2D InSe surface. The excellent stability of the MX monolayers was confirmed using lattice dynamical calculations as well as the ab initio molecular dynamics simulations in vacuum and aqueous environments. Moreover, distinguished optical absorption performance of the MX monolayers resulted in effective sunlight energy conversion as high as 1.20%, 6.40%, and 3.22% for the InSe, InTe, and GaTe monolayers, respectively.",
